,losses
0,"tensor(0.0030, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0040, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3048, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2737, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0049, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.9629, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6267, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3331, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5611, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3306, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2989, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2843, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0046, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3500, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3111, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3522, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3513, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6419, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3607, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0031, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0047, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(1.2248, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2908, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3362, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0053, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0061, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.9892, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0034, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2992, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2967, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2971, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3417, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3758, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0033, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6497, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3515, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
